step 3360, training accuracy 0
step 3370, training accuracy 0
step 3380, training accuracy 0
step 3390, training accuracy 0
step 3400, training accuracy 0
step 3410, training accuracy 0
step 3420, training accuracy 0
step 3430, training accuracy 0
step 3440, training accuracy 0
step 3450, training accuracy 0.02
step 3460, training accuracy 0
step 3470, training accuracy 0
step 3480, training accuracy 0
step 3490, training accuracy 0
step 3500, training accuracy 0
step 3510, training accuracy 0
step 3520, training accuracy 0
step 3530, training accuracy 0.01
step 3540, training accuracy 0
step 3550, training accuracy 0
step 3560, training accuracy 0
step 3570, training accuracy 0
step 3580, training accuracy 0.01
step 3590, training accuracy 0
step 3600, training accuracy 0
step 3610, training accuracy 0
step 3620, training accuracy 0
step 3630, training accuracy 0
step 3640, training accuracy 0
step 3650, training accuracy 0.01
step 3660, training accuracy 0
step 3670, training accuracy 0
step 3680, training accuracy 0
step 3690, training accuracy 0
step 3700, training accuracy 0
step 3710, training accuracy 0
step 3720, training accuracy 0
step 3730, training accuracy 0.01
step 3740, training accuracy 0.01
step 3750, training accuracy 0
step 3760, training accuracy 0
step 3770, training accuracy 0.01
step 3780, training accuracy 0
step 3790, training accuracy 0
step 3800, training accuracy 0.01
step 3810, training accuracy 0
step 3820, training accuracy 0.01
step 3830, training accuracy 0
step 3840, training accuracy 0
step 3850, training accuracy 0
step 3860, training accuracy 0
step 3870, training accuracy 0
step 3880, training accuracy 0
step 3890, training accuracy 0
step 3900, training accuracy 0
step 3910, training accuracy 0
step 3920, training accuracy 0
step 3930, training accuracy 0
step 3940, training accuracy 0
step 3950, training accuracy 0.01
step 3960, training accuracy 0
step 3970, training accuracy 0
step 3980, training accuracy 0
step 3990, training accuracy 0
step 4000, training accuracy 0
step 4010, training accuracy 0
step 4020, training accuracy 0
step 4030, training accuracy 0
step 4040, training accuracy 0
step 4050, training accuracy 0
step 4060, training accuracy 0
step 4070, training accuracy 0
step 4080, training accuracy 0
step 4090, training accuracy 0
step 4100, training accuracy 0
step 4110, training accuracy 0
step 4120, training accuracy 0
step 4130, training accuracy 0
step 4140, training accuracy 0
step 4150, training accuracy 0
step 4160, training accuracy 0
step 4170, training accuracy 0
step 4180, training accuracy 0
step 4190, training accuracy 0
step 4200, training accuracy 0
step 4210, training accuracy 0.01
step 4220, training accuracy 0
step 4230, training accuracy 0.01
step 4240, training accuracy 0
step 4250, training accuracy 0
step 4260, training accuracy 0
step 4270, training accuracy 0
step 4280, training accuracy 0
step 4290, training accuracy 0
step 4300, training accuracy 0
step 4310, training accuracy 0
step 4320, training accuracy 0
step 4330, training accuracy 0
step 4340, training accuracy 0
step 4350, training accuracy 0
step 4360, training accuracy 0
step 4370, training accuracy 0
step 4380, training accuracy 0
step 4390, training accuracy 0
step 4400, training accuracy 0
step 4410, training accuracy 0
step 4420, training accuracy 0
step 4430, training accuracy 0
step 4440, training accuracy 0
step 4450, training accuracy 0
step 4460, training accuracy 0
step 4470, training accuracy 0.01
step 4480, training accuracy 0
step 4490, training accuracy 0
step 4500, training accuracy 0
step 4510, training accuracy 0
step 4520, training accuracy 0
step 4530, training accuracy 0
step 4540, training accuracy 0
step 4550, training accuracy 0.01
step 4560, training accuracy 0
step 4570, training accuracy 0
step 4580, training accuracy 0
step 4590, training accuracy 0
step 4600, training accuracy 0
step 4610, training accuracy 0
step 4620, training accuracy 0
step 4630, training accuracy 0
step 4640, training accuracy 0
step 4650, training accuracy 0
step 4660, training accuracy 0
step 4670, training accuracy 0
step 4680, training accuracy 0
step 4690, training accuracy 0
step 4700, training accuracy 0
step 4710, training accuracy 0
step 4720, training accuracy 0
step 4730, training accuracy 0
step 4740, training accuracy 0
step 4750, training accuracy 0.01
step 4760, training accuracy 0
step 4770, training accuracy 0
step 4780, training accuracy 0
step 4790, training accuracy 0.01
step 4800, training accuracy 0
step 4810, training accuracy 0
step 4820, training accuracy 0
step 4830, training accuracy 0
step 4840, training accuracy 0
step 4850, training accuracy 0
step 4860, training accuracy 0
step 4870, training accuracy 0
step 4880, training accuracy 0
step 4890, training accuracy 0
step 4900, training accuracy 0
step 4910, training accuracy 0
step 4920, training accuracy 0.01
step 4930, training accuracy 0
step 4940, training accuracy 0
step 4950, training accuracy 0
step 4960, training accuracy 0
step 4970, training accuracy 0
step 4980, training accuracy 0.01
step 4990, training accuracy 0
step 5000, training accuracy 0
step 5010, training accuracy 0
step 5020, training accuracy 0
step 5030, training accuracy 0
step 5040, training accuracy 0
step 5050, training accuracy 0
step 5060, training accuracy 0
step 5070, training accuracy 0
step 5080, training accuracy 0
step 5090, training accuracy 0
step 5100, training accuracy 0.01
step 5110, training accuracy 0
step 5120, training accuracy 0
step 5130, training accuracy 0
step 5140, training accuracy 0.01
step 5150, training accuracy 0
step 5160, training accuracy 0
step 5170, training accuracy 0
step 5180, training accuracy 0
step 5190, training accuracy 0.01
step 5200, training accuracy 0
step 5210, training accuracy 0
step 5220, training accuracy 0
step 5230, training accuracy 0
step 5240, training accuracy 0
step 5250, training accuracy 0
step 5260, training accuracy 0
step 5270, training accuracy 0
step 5280, training accuracy 0
step 5290, training accuracy 0
step 5300, training accuracy 0
step 5310, training accuracy 0
step 5320, training accuracy 0
step 5330, training accuracy 0
step 5340, training accuracy 0
step 5350, training accuracy 0
step 5360, training accuracy 0
step 5370, training accuracy 0
step 5380, training accuracy 0
step 5390, training accuracy 0
step 5400, training accuracy 0
step 5410, training accuracy 0
step 5420, training accuracy 0
step 5430, training accuracy 0
step 5440, training accuracy 0
step 5450, training accuracy 0.01
step 5460, training accuracy 0
step 5470, training accuracy 0.01
step 5480, training accuracy 0.01
step 5490, training accuracy 0
step 5500, training accuracy 0
step 5510, training accuracy 0
step 5520, training accuracy 0
step 5530, training accuracy 0.01
step 5540, training accuracy 0
step 5550, training accuracy 0.01
step 5560, training accuracy 0
step 5570, training accuracy 0
step 5580, training accuracy 0
step 5590, training accuracy 0
step 5600, training accuracy 0
step 5610, training accuracy 0
step 5620, training accuracy 0
step 5630, training accuracy 0
step 5640, training accuracy 0
step 5650, training accuracy 0
step 5660, training accuracy 0
step 5670, training accuracy 0
step 5680, training accuracy 0
step 5690, training accuracy 0
step 5700, training accuracy 0.01
step 5710, training accuracy 0
step 5720, training accuracy 0
step 5730, training accuracy 0
step 5740, training accuracy 0
step 5750, training accuracy 0
step 5760, training accuracy 0.01
step 5770, training accuracy 0
step 5780, training accuracy 0
step 5790, training accuracy 0
step 5800, training accuracy 0
step 5810, training accuracy 0
step 5820, training accuracy 0
step 5830, training accuracy 0.01
step 5840, training accuracy 0.02
step 5850, training accuracy 0
step 5860, training accuracy 0
step 5870, training accuracy 0
